Ticker,MarketCap,BookValue,InvestmentGrowth,OperatingProfitability(%)
MMM,87990502000.0,8.867,-0.053551720678238185,54031803315.66482
AOS,8747926039.98,13.411,-0.03,5428379688.315562
ABT,195118821172.87,30.018,0.11200043707487639,
ABBV,397325739119.92,-1.85,0.003340484444477437,
ACN,132533961490.65,50.162,0.16917815540888198,20385279693.792114
ADBE,106159405000.0,28.143,-0.024280516043665233,30934868350.922077
AMD,326326730226.45,38.65,0.11122988472539219,9557567917.205692
AES,11757116785.44,5.427,0.05819326324248309,37331859222.40649
AFL,59146220700.0,56.855,-0.07226728954262808,
A,34760991387.3,23.815,0.07437109572851595,6210371614.528658
APD,62606416329.44,69.216,0.03752154159486135,4173890429.958391
ABNB,54170786139.75,13.62,0.059592537811918506,18678414096.9163
AKAM,13547789368.29,34.395,0.04734810587071543,1850135194.0689054
ALB,19847828792.399998,61.999,-0.014174772748057469,108525943.96683818
ARE,9297564367.65,90.713,-0.09181583325847702,611869302.0845965
ALGN,13633934049.900002,56.486,0.021486792057104374,1189257515.1364942
ALLE,13949220859.419998,24.023,0.04089064130812942,3249802272.821879
LNT,18253382455.890003,28.522,0.06954842962753685,3106374027.066826
ALL,53676837000.0,110.035,0.07986494069387202,
GOOGL,1833813560000.0,34.353,0.32209454177179203,375626582831.1938
GOOG,1712426199999.9998,34.353,0.32209454177179203,375626582831.1938
MO,113133687328.29,-2.088,-0.08796992481203007,
AMZN,2255514223995.7,38.306,0.3090892215319718,208779303503.36765
AMCR,23328686888.100002,25.193,1.2431614621157105,5223673242.56738
AEE,30417820000.0,48.484,0.0922850844966936,3126804719.082584
AEP,69971248762.01001,57.571,0.11042123440501368,9353667645.168573
AXP,237692036250.9,48.796,0.10532267986929983,22200590212.312485
AIG,43160859291.72,76.441,-0.00042151721401916664,5592548501.458641
AMT,87688543954.13,8.441,-0.07497167851019877,54531453619.239426
AWK,25250069318.57,55.524,0.0835698725988514,3094157481.4494634
AMP,43065297000.0,71.759,0.03545844249990011,
AME,53754906384.229996,46.406,-0.026116626495245824,
AMGN,202015611206.25,16.069,-0.013643441239560536,56506316510.050415
APH,185660623027.19998,10.935,0.6901381516963461,54613625971.65066
ADI,173477810082.84998,69.207,-0.0048843751975630395,4338399294.869017
AON,69647709014.72,43.599,0.03714898396814051,10800706438.221062
APA,10306688434.06,16.772,0.27197585935450014,19073455759.599335
APO,69315652968.56,37.899,0.2054528403001072,21897675400.40634
AAPL,3884336021200.0,5.998,-0.015724149268453065,2218239413137.7124
AMAT,297947162030.18,27.365,0.05492748990089802,30951945916.31646
APP,128934599400.0,6.31,0.09517712294793967,
APTV,16928390267.569998,43.277,-0.0019183221075965554,4660674261.154885
ACGL,35357910000.0,65.393,0.2037143924218246,
ADM,32621073611.8,47.36,-0.024894290787281947,4375000000.0
ARES,26707534563.88,13.676,0.0062193647520268494,6917885346.592571
ANET,167220464445.3,9.845,0.4105087712866847,
AJG,55637873760.0,90.743,0.24487463141131205,
AIZ,11233693784.1,117.92,0.04118899248406431,877120081.4111263
T,195876150083.98,15.706,0.06434478653478387,159174837641.6656
ATO,29939486057.62,86.336,0.12125905432006594,1806860405.85619
ADSK,48119760000.0,13.646,0.09291767554479419,10032243880.990767
ADP,86355136747.08,15.864,-0.018273558892402328,34114346949.06707
AZO,62104808374.92,-194.67,0.12684663230739512,-1854500436.6363592
AVB,25038351664.8,83.949,0.015597236782635096,1090840867.6696568
AVY,15221008986.48,28.968,0.02367901775926332,3850455675.227837
AXON,34468624957.880005,38.379,0.31251382299642083,152531332.23898488
BKR,61478193287.1,19.086,0.06563615984151396,18636697055.433304
BALL,17829189214.36,20.428,-0.08677407656840906,5791071078.911298
BAC,382693358145.7,38.441,0.025586206441140687,
BAX,11102695171.099998,11.918,-0.22213171980451477,1485148514.8514853
BDX,52737272243.49999,88.789,-0.0342317494675837,3363029204.0680714
BRK-B,683938993249.7999,485274.34,0.07841563097559015,23816631.227606222
BBY,13510823441.44,12.633,-0.012360526491614886,13725955829.96913
TECH,8999193355.84,12.901,-0.05399636890423974,1882055654.6004188
BIIB,28182040131.84,124.365,0.049562734185879864,1985285249.0652516
BLK,169623564000.00003,357.9,0.12502130491595717,2106174909.1925123
BX,90793402006.36,11.064,0.07899081924357239,25094974692.697037
XYZ,29146837740.0,36.943,0.11341624739777184,4565270822.618629
BK,81342612840.0,57.36,0.015094772334139266,
BA,182224086684.88,6.943,0.07592589039606557,-78006625378.07864
BKNG,131410494653.85,-174.891,0.13827951688439732,-4319833496.291976
BSX,110603617280.64,16.341,0.12121470856102004,18370968728.963955
BMY,123532494945.29999,9.073,-0.027698886645141085,151261986112.6419
AVGO,1577184729237.3499,59.221,0.032883576322859126,44029989361.88177
BR,20666857529.300003,24.672,0.03671260797825876,4817607003.89105
BRO,23689829400.57,37.342,0.7028730411083353,4022280542.017032
BF-B,8834894333.24,8.81,-0.00979671809943669,13246311010.215664
BLDR,12224683229.55,39.357,0.00796555858343845,4053278959.2702694
BG,23580379681.65,82.23,-0.018642598139681537,
BXP,9652420382.24,32.464,0.0022604573577135827,3147889970.4287825
CHRW,22545075519.98,15.584,-0.045214863325761814,5101135780.287475
CDNS,80647712280.0,20.141,0.5829431601531778,6824527084.057397
CPT,11085360112.0,41.015,0.02155918385421656,704391076.4354504
CPB,7998941793.349999,13.279,-0.02225139481457171,10189020257.549515
COF,130283341999.99998,173.106,0.024411449973247727,2743983455.2239666
CAH,52814326631.04,-12.22,0.17732319762416612,-19001636661.21113
CCL,39562244517.88,9.363,0.053611105448763685,47869272669.01634
CARR,53611026591.48,16.509,-0.00569473036922172,11551275062.087347
CVNA,39366699140.0,24.193,0.19983029274501485,4092092754.102426
CAT,353497397613.68,45.817,0.12329656806891208,24338127769.168648
CBOE,30208778301.52,49.101,0.04028046744574291,2404635343.475693
CBRE,43391259023.54,30.494,0.2663331009309765,4243457729.389388
CDW,16227337782.4,20.14,0.10491847703355765,
COR,70241138656.56,9.81,0.1414040131074538,40098083588.17532
CNC,21263572680.0,40.575,-0.025944873052066966,7857054836.722119
CNP,28073335739.0,17.083,0.10205212136472365,11649007785.517767
CF,15157615903.920002,31.033,-0.06329994435169728,5513485644.314117
CRL,8313477361.32,64.3,-0.08134910538754053,687942457.2317263
SCHW,167085364483.1,23.855,-0.02703891901098589,
CHTR,29145517317.84,126.777,0.02794960671910412,10509792785.757668
CVX,364181400000.0,94.952,-0.017941230430528376,
CMG,48892959420.0,2.17,-0.022798182690099294,92756129032.25807
CB,129696988897.74,188.588,0.06877866500203744,6467007444.800305
CHD,24398442362.28,16.919,0.00329839808175074,6369170754.77274
CIEN,47383184587.2,19.355,0.039588133096817295,1605745285.4559546
CI,73851593840.0,153.726,0.020424061115075182,
CINF,25333217619.0,102.387,0.11388812597271812,
CTAS,79985926992.92,11.142,0.07159309647035163,21178657332.61533
CSCO,312926689389.60004,12.085,-0.017056095424111628,103467107985.10548
C,202710000000.0,110.009,-0.02441668871074875,
CFG,27747182965.530003,56.392,0.040593781749808065,3246914455.9511986
CLX,14944706266.8,-1.034,-0.033037732568249004,-113829787234.04254
CME,110761216848.01,79.882,0.05968030801943779,4921634410.755864
CMS,23245089549.86,29.111,0.11194320712694877,5932465391.089279
KO,343440450184.8,7.478,0.029129095319488655,
CTSH,31100397207.600002,31.347,0.0363618150856456,10613455833.094076
COIN,38218122985.299995,55.232,0.3162938735870733,2636415483.7775207
